product_id,barcode,product,brand,item,category,price_aed,unit_cost_aed,tax_rate,launch_flag
P0001,8196001338906,Masafi Sparkling Water (500g),Masafi,Sparkling Water,Beverages,16.02,9.99,0.05,New
P0002,2654235116159,CeraVe Deodorant,CeraVe,Deodorant,Beauty,12.83,8.79,0.05,Regular
P0003,1849593103410,Pampers Baby Food (Pack of 6),Pampers,Baby Food,Baby,16.89,12.99,0.05,Regular
P0004,2553419283277,L'Oréal Conditioner (Pack of 2),L'Oréal,Conditioner,Beauty,22.94,14.53,0.05,Regular
P0005,3056413953768,Royal Canin Pet Shampoo,Royal Canin,Pet Shampoo,Pet,12.4,9.37,0.05,Regular
P0006,4969653287106,Zara Cap (Mini),Zara,Cap,Fashion,24.98,14.79,0.05,Regular
P0007,6697848018454,Lacnor Energy Drink (500g),Lacnor,Energy Drink,Beverages,23.4,18.43,0.05,Regular
P0008,8281489325286,PepsiCo Sports Drink (1L),PepsiCo,Sports Drink,Beverages,17.61,10.52,0.05,New
P0009,4303911718221,Bayara Chocolate (Pack of 2),Bayara,Chocolate,Grocery,11.42,7.95,0.05,New
P0010,8346578713310,Zara Cap (250ml),Zara,Cap,Fashion,32.78,23.22,0.05,Regular
P0011,3105183473829,Philips Avent Diapers,Philips Avent,Diapers,Baby,11.45,8.32,0.05,New
P0012,6566701065136,Crocs Belt (500g),Crocs,Belt,Fashion,23.03,18.25,0.05,Regular
P0013,3178108013264,Vaseline Moisturizer (Large),Vaseline,Moisturizer,Beauty,14.65,8.67,0.05,Regular
P0014,6064746872349,H&M Flip Flops (1kg),H&M,Flip Flops,Fashion,13.88,11.23,0.05,Regular
P0015,8820812191367,Nivea Shampoo (Large),Nivea,Shampoo,Beauty,7.36,5.7,0.05,New
P0016,5435346247515,Almarai Iced Tea (Mini),Almarai,Iced Tea,Beverages,11.06,8.14,0.05,Regular
P0017,8384251354276,Lulu Cereal (500g),Lulu,Cereal,Grocery,9.45,8.03,0.05,Regular
P0018,4118244935340,Ariel Detergent (1kg),Ariel,Detergent,Home,15.03,12.47,0.05,New
P0019,52427868015,Nike Wallet (1L),Nike,Wallet,Fashion,19.73,11.4,0.05,Regular
P0020,6204505331582,Almarai Energy Drink (1kg),Almarai,Energy Drink,Beverages,8.21,6.57,0.05,Regular
P0021,6025634216072,Royal Canin Treats (1kg),Royal Canin,Treats,Pet,22.49,18.2,0.05,Regular
P0022,3036541458687,Vaseline Moisturizer (250ml),Vaseline,Moisturizer,Beauty,12.44,8.15,0.05,Regular
P0023,196556981693,Huggies Diapers (1L),Huggies,Diapers,Baby,13.79,11.21,0.05,Regular
P0024,3561595148463,Nivea Sunscreen (Mini),Nivea,Sunscreen,Beauty,8.18,6.24,0.05,New
P0025,2994680443692,Gerber Pacifier (Pack of 6),Gerber,Pacifier,Baby,11.13,7.97,0.05,Regular
P0026,2148951343321,Chicco Rash Cream (Large),Chicco,Rash Cream,Baby,14.0,9.56,0.05,Regular
P0027,7693676320164,Al Islami Rice (500g),Al Islami,Rice,Grocery,9.0,7.61,0.05,Regular
P0028,7278895798682,Vaseline Face Wash (500g),Vaseline,Face Wash,Beauty,15.36,8.68,0.05,Regular
P0029,8734714345585,Crocs Cap (1L),Crocs,Cap,Fashion,21.97,15.05,0.05,Regular
P0030,1665876036691,Lacnor Energy Drink (250ml),Lacnor,Energy Drink,Beverages,12.16,7.53,0.05,Regular
P0031,6688937346701,Carrefour Chocolate (1L),Carrefour,Chocolate,Grocery,10.91,7.56,0.05,Regular
P0032,9806990162725,Kong Chew Toy (1kg),Kong,Chew Toy,Pet,25.75,19.76,0.05,Regular
P0033,6464170805317,Carrefour Tea (Pack of 2),Carrefour,Tea,Grocery,13.4,8.69,0.05,Regular
P0034,3271937452997,Al Islami Rice (1kg),Al Islami,Rice,Grocery,9.3,5.67,0.05,New
P0035,9663193149195,Masafi Energy Drink (1L),Masafi,Energy Drink,Beverages,17.96,10.46,0.05,New
P0036,5067165726287,Lulu Coffee (Mini),Lulu,Coffee,Grocery,8.78,5.96,0.05,Regular
P0037,5314737996501,Mr. Muscle Toilet Paper (1L),Mr. Muscle,Toilet Paper,Home,14.48,9.86,0.05,Regular
P0038,5494808313670,Puma Scarf (1L),Puma,Scarf,Fashion,13.66,9.51,0.05,Regular
P0039,3634957885686,Vaseline Lip Balm (1L),Vaseline,Lip Balm,Beauty,8.46,5.79,0.05,New
P0040,3518233749896,Chicco Bottle (500g),Chicco,Bottle,Baby,14.42,9.1,0.05,Regular
P0041,824008427108,Persil Dish Soap (1L),Persil,Dish Soap,Home,17.43,11.14,0.05,Regular
P0042,4711671902291,Mr. Muscle Toilet Paper,Mr. Muscle,Toilet Paper,Home,14.3,9.75,0.05,Regular
P0043,8677496499094,Persil Dish Soap (250ml),Persil,Dish Soap,Home,12.93,7.57,0.05,Regular
P0044,2812067974037,Mai Dubai Iced Tea (250ml),Mai Dubai,Iced Tea,Beverages,12.12,7.63,0.05,New
P0045,9361832421021,Mr. Muscle Air Freshener (1L),Mr. Muscle,Air Freshener,Home,8.02,4.58,0.05,Regular
P0046,4887719065942,Mr. Muscle Air Freshener (Pack of 6),Mr. Muscle,Air Freshener,Home,10.47,6.15,0.05,Regular
P0047,4902787429677,Al Islami Pasta,Al Islami,Pasta,Grocery,11.46,9.61,0.05,Regular
P0048,2567468071549,Red Bull Cold Brew (500g),Red Bull,Cold Brew,Beverages,19.49,13.11,0.05,Regular
P0049,8760385977039,Mustela Wipes,Mustela,Wipes,Baby,15.18,12.29,0.05,Regular
P0050,932480861317,Ariel Paper Towels (500g),Ariel,Paper Towels,Home,7.26,4.95,0.05,Regular
P0051,4677378263984,Puma Socks (Mini),Puma,Socks,Fashion,30.37,21.24,0.05,Regular
P0052,8404499727875,Sony Power Bank (Pack of 2),Sony,Power Bank,Electronics,58.28,45.56,0.05,Regular
